Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,,,,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,,STT,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Distance
0,72,0,1,1.49,0,139.8,114,50.9,6.91,5.5,,0,,1,0.26446281,1,0,0.053703704,0.444444444,0.368015964,0.83030303,0.317574512,0.628367235,0.635,,,,,,,,,,,,,,
0,149,0,0,0.18,0,176.2,87,44.8,7.25,5.7,,,,0,0.301652893,1,0,0.062962963,0,0.535062714,0.76969697,0.363823227,0.449147883,0.455,,,,,,,,,,,,,,
0,29,0,1,1.54,2,235,101,71.4,9.17,5.7,,350.8,,0,0.690082645,1,0,0,0.111111111,0.367160775,0.581818182,0.174717369,0.288620121,0.56,,,,,,,,,,,,,,
0,135,0,1,1.57,2,127.7,54,55.7,10.75,5.8,,0,,0,0.388429752,1,0,0.081481481,0.333333333,0.44640821,0.533333333,0.394655704,0.680593733,0.615,,,,,,,,,,,,,,
0,129,0,0,0,1,267.4,78,63,10.21,5.9,,,,0,0.252066116,1,0,0,0.444444444,0.344070696,0.424242424,0.339157246,0.844420011,0.655,,,,,,,,,,,,,,
1,127,0,0,0,4,143.2,60,40,8.98,6.2,,9,,1,0.661157025,1,0,0,0.444444444,0.948973774,0.406060606,0.71942446,0.873556899,0.27,,,,,,,,,,,,,,
1,123,0,0,0,4,125.5,106,33,6.45,6.3,,0,,0,0.347107438,1,1,0.690740741,0.111111111,0.55986317,0.842424242,0.835560123,0.772402419,0.69,,,,,,,,,,,,,,
0,118,0,0,0,0,223.4,98,57,11.03,6.3,,,,0,0.380165289,1,0,0,0.333333333,0.543614595,0.690909091,0.380267215,0.599780099,0.405,,,,,,,,,,,,,,
1,57,0,0,0,0,115,65,30,6.12,6.4,,5.4,,0,0.309917355,1,1,0.5,0.111111111,0.540763968,0.4,0.657759507,0.584936778,0.5,,,,,,,,,,,,,,
0,16,0,0,0,0,110,91,32,7.37,6.4,,0,,0,0.297520661,1,0,0,0.111111111,0.63968073,0.545454545,0.390544707,0.438702584,0.65,,,,,,,,,,,,,,
0,33,0,0,0,0,164,99,41,7.66,6.4,,,,0,0.603305785,1,0,0.057407407,0,0.442132269,0.709090909,0.371017472,0.659153381,0.53,,,,,,,,,,,,,,
0,40,0,0,0.23,0,220.8,100,63.3,13.29,6.4,,243,,1,0.314049587,1,0,0,0.555555556,0.177879133,0.539393939,0.123329908,0.46728972,0.285,,,,,,,,,,,,,,
0,169,0,0,0,3,57.1,98,27,9.99,6.5,,1,,0,0.533057851,1,0,0,0,0.521664766,0.678787879,0.246659815,0.200659703,0.475,,,,,,,,,,,,,,
0,84,0,0,0,2,299.4,71,57,3.1,6.6,,,,0,0.454545455,1,0,0.072222222,0.222222222,0.314709236,0.624242424,0.214799589,0.377680044,0.385,,,,,,,,,,,,,,
0,103,0,0,0,3,171.7,78,42,7.23,6.8,,,,0,0.541322314,1,0,0,0,0.231185861,0.521212121,0.215827338,0.673996701,0.515,,,,,,,,,,,,,,
0,116,0,1,1.86,1,175.5,137,66.6,10.53,6.9,,,,0,0.714876033,1,0,0,0.333333333,0.354332953,0.460606061,0.318602261,0.761957119,0.775,,,,,,,,,,,,,,
0,147,0,0,0,0,157,79,36,5.16,7.1,,,,0,0.231404959,1,1,0.475925926,0,0.60718358,0.696969697,0.664953751,0.525563496,0.475,,,,,,,,,,,,,,
0,94,0,0,0,4,243.2,109,54,7.35,7.2,,,,0,0.219008264,1,0,0,0.333333333,0.382839225,0.442424242,0.236382323,0.427707532,0.735,,,,,,,,,,,,,,
1,80,0,0,0,1,276.5,122,64,9.78,7.2,,,,0,0.078512397,1,0,0.059259259,0,0.541619156,0.660606061,0.454265159,0.709730621,0.315,,,,,,,,,,,,,,
1,88,0,0,0,4,235.1,98,62,12.59,7.2,,,,0,0.198347107,1,0,0.038888889,0.111111111,0.340079818,0.709090909,0.278520041,0.59153381,0.555,,,,,,,,,,,,,,
0,101,0,0,0,1,156.4,116,38,6.52,7.3,,,,0,0.582644628,1,0,0,0.222222222,0.241733181,0.575757576,0.1336074,0.376030786,0.71,,,,,,,,,,,,,,
1,97,0,0,0.38,0,236.9,107,57.8,7.88,7.3,,,,0,0.305785124,1,0,0,0.111111111,0.644526796,0.636363636,0.431654676,0.554150632,0.515,,,,,,,,,,,,,,
1,120,0,0,0,2,202,123,51,9.22,7.4,,,,0,0.70661157,1,0,0,0.333333333,0.604332953,0.733333333,0.256937307,0.085761407,0.63,,,,,,,,,,,,,,
0,127,0,0,0.26,2,180.9,114,51.6,10.48,7.4,,,,1,0.045454545,1,0,0,0.111111111,0.711516534,0.715151515,0.513874615,0.693787795,0.59,,,,,,,,,,,,,,
0,92,0,1,2.03,0,281.1,88,85.3,9.9,7.5,,,,0,0.231404959,1,1,0.414814815,0,0.503990878,0.56969697,0.569373073,0.536008796,0.415,,,,,,,,,,,,,,
0,105,0,0,0,0,228.4,100,52,7.26,7.7,,,,0,0.29338843,1,1,0.735185185,0.333333333,0.62713797,0.484848485,0.83967112,0.597581089,0.735,,,,,,,,,,,,,,
1,119,0,1,2.08,0,147.2,103,59.8,8.01,7.7,,,,0,0.144628099,1,1,0.725925926,0,0.41704675,0.775757576,0.659815005,0.446948873,0.725,,,,,,,,,,,,,,
1,127,0,0,0,1,176.9,110,45,8.4,7.7,,,,0,0.318181818,1,0,0,0.111111111,0.37286203,0.387878788,0.287769784,0.615173172,0.5,,,,,,,,,,,,,,
0,3,0,0,0.26,1,161,96,51.6,12.25,7.7,,,,0,0.55785124,0,1,0.525925926,0.333333333,0.581242873,0.642424242,0.672147996,0.515667949,0.525,,,,,,,,,,,,,,
0,98,0,0,0,1,12.5,67,24,12.83,7.7,,,,0,0.611570248,1,0,0,0.111111111,0.40022805,0.56969697,0.339157246,0.747113799,0.555,,,,,,,,,,,,,,
0,81,0,0,0,1,250.6,85,59,9.4,7.8,,,,0,0.400826446,1,0,0.055555556,0.333333333,0.360034208,0.618181818,0.256937307,0.458493678,0.47,,,,,,,,,,,,,,
0,163,0,0,0,1,197.2,90,50,9.43,7.8,,,,1,0.553719008,0,1,0.72962963,0,0.493443558,0.515151515,0.744090442,0.560747664,0.73,,,,,,,,,,,,,,
0,109,0,0,0.25,2,209.1,141,55.5,10.25,7.8,,,,0,0.136363636,1,0,0,0.222222222,0.355758267,0.496969697,0.328879753,0.775700935,0.5,,,,,,,,,,,,,,
0,75,0,0,0.29,1,153.2,78,46.9,10.54,7.8,,,,0,0.657024793,1,0,0.07037037,0.333333333,0.244583808,0.466666667,0.193216855,0.45464541,0.46,,,,,,,,,,,,,,
0,81,0,1,2.13,1,237.1,76,84.3,13.21,7.9,,,,0,0.260330579,1,0,0.044444444,0.111111111,0.438996579,0.406060606,0.353545735,0.620670698,0.175,,,,,,,,,,,,,,
1,94,0,0,0,1,89.5,94,45,17,7.9,,,,0,0.239669421,1,1,0.425925926,0.222222222,0.344640821,0.587878788,0.49331963,0.585486531,0.425,,,,,,,,,,,,,,
1,133,0,0,0,0,254.7,103,65,12.61,8,,,,0,0.26446281,1,0,0,0.333333333,0.602337514,0.727272727,0.369989723,0.446948873,0.66,,,,,,,,,,,,,,
0,50,0,1,2.16,0,307.1,94,98.6,14.47,8,,,,0,0.582644628,1,0,0.064814815,0.222222222,0.533067275,0.806060606,0.344295992,0.369983507,0.37,,,,,,,,,,,,,,
0,15,0,0,0,2,141.4,80,35,6.2,8.1,,,,1,0.487603306,1,0,0,0.555555556,0.453534778,0.690909091,0.339157246,0.636063771,0.44,,,,,,,,,,,,,,
0,64,0,1,2.19,0,127.2,93,57.9,8.15,8.1,,,,0,0.396694215,1,1,0.55,0.111111111,0.379703535,0.818181818,0.593011305,0.597031336,0.55,,,,,,,,,,,,,,
0,147,0,1,2.19,3,219.9,118,77.9,10.43,8.1,,,,0,0.210743802,1,0,0.059259259,0.333333333,0.547035348,0.654545455,0.464542652,0.741616273,0.39,,,,,,,,,,,,,,
0,148,0,0,0,1,218.7,111,51,7.78,8.2,,,,0,0.243801653,1,0,0,0.111111111,0.628848347,0.345454545,0.431654676,0.580538758,0.34,,,,,,,,,,,,,,
0,55,0,0,0,1,269.6,121,61,8.59,8.2,,,,0,0.037190083,1,0,0,0.222222222,0.53050171,0.678787879,0.349434738,0.522814733,0.57,,,,,,,,,,,,,,
0,40,0,0,0,3,170.7,55,45,8.96,8.2,,,,0,0.392561983,1,0,0.038888889,0.222222222,0.456670468,0.709090909,0.391572456,0.735568994,0.465,,,,,,,,,,,,,,
1,69,0,1,2.21,1,271.5,98,90.1,12.67,8.2,,,,1,0.355371901,1,0,0,0.555555556,0.430444698,0.503030303,0.318602261,0.60417812,0.485,,,,,,,,,,,,,,
0,66,0,0,0.28,3,208.7,84,53.8,8.67,8.3,,,,0,0.330578512,1,0,0.02037037,0.111111111,0.500285063,0.406060606,0.401849949,0.685541506,0.51,,,,,,,,,,,,,,
0,113,0,0,0,0,125.2,93,39,10.32,8.3,,,,0,0.578512397,1,0,0,0.111111111,0.361744584,0.593939394,0.236382323,0.49477735,0.4,,,,,,,,,,,,,,
0,85,0,0,0.38,4,197.2,97,55.8,10.59,8.3,,,,1,0.495867769,1,1,0.290740741,0.333333333,0.565564424,0.781818182,0.438848921,0.207256734,0.29,,,,,,,,,,,,,,
0,156,0,0,0.2,1,277,119,70,11.92,8.3,,,,0,0.276859504,1,0,0,0.333333333,0.424173318,0.424242424,0.339157246,0.67784497,0.605,,,,,,,,,,,,,,
1,110,0,1,2.24,1,267.9,103,90.4,13.17,8.3,,,,0,0.512396694,1,0,0,0.111111111,0.653648803,0.624242424,0.421377184,0.487630566,0.6,,,,,,,,,,,,,,
0,157,0,0,0,0,180.4,123,48,9.7,8.4,,,,0,0.714876033,1,0,0,0.111111111,0.547605473,0.587878788,0.349434738,0.46728972,0.57,,,,,,,,,,,,,,
0,90,0,0,0,1,221.8,97,56,10.19,8.4,,,,0,0.475206612,1,1,0.57962963,0.222222222,0.765678449,0.503030303,0.804727646,0.489829577,0.58,,,,,,,,,,,,,,
0,170,0,0,0,3,259.9,68,66,12.25,8.4,,,,0,0.301652893,1,1,0.72962963,0.222222222,0.552166477,0.551515152,0.816032888,0.676745465,0.73,,,,,,,,,,,,,,
1,69,0,0,0,2,279.8,90,69,12.44,8.4,,,,0,0.611570248,1,1,0.62962963,0.333333333,0.515108324,0.557575758,0.688591984,0.516217702,0.63,,,,,,,,,,,,,,
0,99,0,1,2.27,0,126.8,94,69.7,14.68,8.4,,,,0,0.152892562,1,0,0,0.222222222,0.374002281,0.593939394,0.236382323,0.448048378,0.41,,,,,,,,,,,,,,
0,79,0,0,0.31,2,103.5,134,48.1,15.97,8.4,,,,0,0.161157025,1,1,0.309259259,0.222222222,0.422177879,0.448484848,0.438848921,0.466190214,0.31,,,,,,,,,,,,,,
0,148,0,0,0,2,148.2,138,39,7.98,8.6,,,,0,0.173553719,0,0,0,0,0.716932725,0.636363636,0.483042138,0.584936778,0.465,,,,,,,,,,,,,,
0,94,0,0,0.28,1,235.6,131,59.8,9.74,8.6,,,,0,0.462809917,0,0,0,0,0.356898518,0.563636364,0.256937307,0.567344695,0.415,,,,,,,,,,,,,,
1,117,0,0,0,1,54.2,100,35,15.16,8.6,,,,0,0.516528926,1,0,0,0.111111111,0.603192702,0.424242424,0.421377184,0.596481583,0.39,,,,,,,,,,,,,,
0,121,0,1,2.35,3,254.1,127,82.5,9.01,8.7,,,,1,0.615702479,1,0,0,0.444444444,0.509977195,0.612121212,0.318602261,0.465090709,0.69,,,,,,,,,,,,,,
1,119,0,1,2.35,5,160,95,69.5,10.48,8.7,,,,0,0.566115702,1,0,0,0.333333333,0.689281642,0.563636364,0.431654676,0.468938977,0.59,,,,,,,,,,,,,,
0,94,0,0,0,1,170.1,113,53,13.59,8.7,,,,0,0.665289256,1,1,0.605555556,0,0.641106043,0.587878788,0.757451182,0.517317207,0.605,,,,,,,,,,,,,,
1,75,0,0,0,1,222.4,78,66,16.35,8.7,,,,0,0.603305785,1,0,0,0.333333333,0.708665906,0.503030303,0.421377184,0.409565695,0.4,,,,,,,,,,,,,,
1,149,0,1,2.38,5,126.9,97,59.8,8.35,8.8,,,,0,0.367768595,1,0,0,0.111111111,0.57981756,0.884848485,0.411099692,0.623419461,0.365,,,,,,,,,,,,,,
0,149,0,0,0.27,3,180.9,79,50.7,9.75,8.8,,,,0,0.347107438,1,0,0,0,0.672177879,0.660606061,0.411099692,0.432105553,0.6,,,,,,,,,,,,,,
0,166,0,1,2.38,2,128.2,138,69.8,13.73,8.8,,,,0,0.202479339,1,0,0,0.111111111,0.447833523,0.545454545,0.328879753,0.614073667,0.305,,,,,,,,,,,,,,
1,159,0,0,0.44,1,257.1,53,75.4,15.61,8.8,,,,1,0.334710744,1,0,0.038888889,0,0.85604333,0.660606061,0.566289825,0.497526113,0.585,,,,,,,,,,,,,,
0,63,0,0,0,1,62.9,112,28,10.15,8.9,,,,1,0.590909091,1,0,0.038888889,0.444444444,0.175598632,0.709090909,0.062692703,0.212204508,0.41,,,,,,,,,,,,,,
0,58,0,1,2.4,1,142.8,96,72,13.62,8.9,,,,0,0.185950413,1,0,0.048148148,0.222222222,0.61031927,0.436363636,0.406988695,0.451896647,0.41,,,,,,,,,,,,,,
0,4,0,0,0,0,145.3,89,51,15.19,8.9,,,,0,0.285123967,1,0,0.055555556,0.111111111,0.485176739,0.593939394,0.328879753,0.426608026,0.75,,,,,,,,,,,,,,
0,136,0,1,2.43,2,85.2,98,59.3,11.52,9,,,,0,0.590909091,1,0,0,0.111111111,0.573261117,0.6,0.472764645,0.834524464,0.66,,,,,,,,,,,,,,
0,92,0,0,0,1,173.1,140,50,12.02,9,,,,0,0.475206612,0,0,0.055555556,0.333333333,0.614025086,0.63030303,0.452209661,0.562946674,0.63,,,,,,,,,,,,,,
1,2,0,0,0.27,2,132.1,42,37.7,6.95,9.1,,,,0,0.223140496,1,1,0.55,0.333333333,0.472063854,0.745454545,0.572456321,0.374381528,0.55,,,,,,,,,,,,,,
0,59,0,1,2.46,1,225,78,79.6,9.57,9.1,,,,0,0.285123967,1,1,0.490740741,0.111111111,0.711231471,0.612121212,0.796505653,0.714128642,0.49,,,,,,,,,,,,,,
0,136,0,0,0,3,256.8,90,64,11.51,9.1,,,,1,0.433884298,1,0,0,0.222222222,0.600342075,0.581818182,0.441932169,0.684991754,0.62,,,,,,,,,,,,,,
0,118,0,1,2.48,1,153.8,106,61.8,6.17,9.2,,,,0,0.524793388,1,1,0.42962963,0,0.511117446,0.63030303,0.608427544,0.621220451,0.43,,,,,,,,,,,,,,
1,65,0,0,0.31,0,277.9,123,64.1,7.79,9.2,,,,1,0.384297521,1,0,0,0.444444444,0.450114025,0.636363636,0.277492292,0.426058274,0.4,,,,,,,,,,,,,,
0,113,0,0,0.31,1,204.3,82,54.1,9.44,9.2,,,,0,0.454545455,1,0,0,0.111111111,0.610889396,0.715151515,0.421377184,0.573391974,0.6,,,,,,,,,,,,,,
0,146,0,0,0,2,160.1,63,45,10.42,9.2,,,,0,0.301652893,1,1,0.544444444,0.222222222,0.439281642,0.63030303,0.538540596,0.339197361,0.545,,,,,,,,,,,,,,
0,37,0,1,2.48,1,149.7,122,68.8,10.56,9.2,,,,1,0.524793388,1,0,0,0.111111111,0.678164196,0.757575758,0.49331963,0.680593733,0.695,,,,,,,,,,,,,,
1,90,0,0,0,4,148.2,96,44,11.02,9.2,,,,0,0.334710744,1,0,0.031481481,0.111111111,0.410205245,0.36969697,0.305241521,0.536008796,0.555,,,,,,,,,,,,,,
0,109,0,1,2.51,0,217.2,138,75.1,7.28,9.3,,,,1,0.636363636,1,0,0,0,0.57981756,0.606060606,0.380267215,0.525013744,0.445,,,,,,,,,,,,,,
0,92,0,0,0,0,264.3,91,59,8.05,9.3,,,,0,0.326446281,1,0,0,0.111111111,0.354332953,0.606060606,0.22610483,0.475536009,0.395,,,,,,,,,,,,,,
0,43,0,0,0,0,251.5,105,61,10.64,9.3,,,,0,0.318181818,1,0,0,0.333333333,0.720923603,0.563636364,0.462487153,0.490379329,0.475,,,,,,,,,,,,,,
0,103,0,0,0.38,3,62.8,124,29.8,8.52,9.4,,,,0,0.367768595,1,0,0,0.333333333,0.51054732,0.43030303,0.339157246,0.523914239,0.53,,,,,,,,,,,,,,
1,128,0,1,2.54,2,223.5,81,80.4,9.44,9.4,,,,0,0.425619835,1,0,0.055555556,0.111111111,0.793614595,0.642424242,0.452209661,0.222649808,0.49,,,,,,,,,,,,,,
0,138,0,0,0,1,169.3,82,48,10.9,9.4,,,,0,0.297520661,1,0,0,0,0.456385405,0.666666667,0.328879753,0.586586036,0.65,,,,,,,,,,,,,,
1,92,0,0,0.21,2,130.7,113,47.1,13.03,9.4,,,,0,0.404958678,1,0,0,0.444444444,0.564994299,0.527272727,0.390544707,0.570093458,0.435,,,,,,,,,,,,,,
0,144,0,0,0.27,0,150,69,52.7,14.3,9.4,,,,1,0.491735537,1,0,0,0.111111111,0.604618016,0.793939394,0.411099692,0.575590984,0.265,,,,,,,,,,,,,,
0,94,0,1,2.57,4,197.1,125,77.7,10.73,9.5,,,,1,0.314049587,1,0,0,0.222222222,0.717787913,0.436363636,0.483042138,0.565695437,0.49,,,,,,,,,,,,,,
1,78,0,0,0,1,236.8,141,63,13.27,9.5,,,,0,0.400826446,1,1,0.22037037,0.444444444,0.459521095,0.690909091,0.482014388,0.693238043,0.22,,,,,,,,,,,,,,
0,37,0,0,0,2,106.6,76,31,7.37,9.6,,,,0,0.44214876,1,0,0.062962963,0,0.508266819,0.83030303,0.374100719,0.519516218,0.73,,,,,,,,,,,,,,
1,125,0,0,0,0,187.3,118,46,8.04,9.6,,,,0,0.553719008,1,0,0,0,0.432440137,0.496969697,0.22610483,0.327102804,0.525,,,,,,,,,,,,,,
0,126,0,1,2.59,1,129.3,123,62.9,8.83,9.6,,,,0,0.388429752,1,0,0,0.111111111,0.384834664,0.6,0.256937307,0.504672897,0.625,,,,,,,,,,,,,,
1,138,0,0,0,4,46.5,104,24,9.3,9.6,,,,0,0.5,1,0,0.072222222,0.111111111,0.486031927,0.56969697,0.348406989,0.477735019,0.565,,,,,,,,,,,,,,
1,148,0,0,0.21,0,233.5,81,58.1,9.39,9.6,,,,0,0.388429752,1,0,0,0.444444444,0.678734322,0.393939394,0.441932169,0.514568444,0.59,,,,,,,,,,,,,,
0,85,0,0,0,2,165.4,107,45,9.8,9.6,,,,0,0.144628099,1,1,0.45,0.222222222,0.802166477,0.618181818,0.784172662,0.55579989,0.45,,,,,,,,,,,,,,
0,100,0,0,0,1,107.2,98,26,4.34,9.7,,,,0,0.380165289,1,1,0.490740741,0.111111111,0.33608894,0.793939394,0.488180884,0.452446399,0.49,,,,,,,,,,,,,,
1,75,0,0,0,4,211.3,61,45,5.28,9.7,,,,0,0.578512397,1,1,0.505555556,0.111111111,0.423603193,0.551515152,0.516957862,0.360637713,0.505,,,,,,,,,,,,,,
1,109,0,0,0,2,268.4,85,59,7.53,9.7,,,,0,0.644628099,1,0,0,0.333333333,0.655074116,0.545454545,0.390544707,0.406816932,0.48,,,,,,,,,,,,,,
0,55,0,0,0,1,221,115,52,8.27,9.7,,,,0,0.491735537,1,0,0,0.111111111,0.470353478,0.606060606,0.431654676,0.871907642,0.415,,,,,,,,,,,,,,
1,122,0,0,0.3,4,140,101,44,9.82,9.7,,,,0,0.421487603,1,0,0,0.222222222,0.527366021,0.709090909,0.380267215,0.614073667,0.63,,,,,,,,,,,,,,
0,126,0,1,2.62,4,244.9,118,87.2,10.98,9.7,,,,0,0.400826446,1,0,0,0.444444444,0.458950969,0.709090909,0.308324769,0.525013744,0.605,,,,,,,,,,,,,,
1,54,0,0,0.38,2,190.5,108,58.8,12.99,9.7,,,,0,0.512396694,1,0,0,0.111111111,0.361174458,0.654545455,0.2672148,0.56624519,0.665,,,,,,,,,,,,,,
0,12,0,0,0,2,216.7,117,47,5.83,9.8,,,,0,0.256198347,1,0,0,0.111111111,0.167901938,0.757575758,0.113052415,0.466190214,0.47,,,,,,,,,,,,,,
0,142,0,1,2.65,0,191.1,109,72.5,7.48,9.8,,,,1,0.144628099,0,1,1,0,0.561003421,0.539393939,0.98663926,0.700934579,1,,,,,,,,,,,,,,
1,37,0,0,0,0,172.9,119,45,9.15,9.8,,,,0,0.260330579,1,0,0.053703704,0.111111111,0.463511973,0.503030303,0.30729702,0.41891149,0.71,,,,,,,,,,,,,,
0,99,0,0,0,4,197.2,127,47,7.8,9.9,,,,1,0.301652893,1,0,0.038888889,0.111111111,0.805302166,0.690909091,0.566289825,0.604727872,0.47,,,,,,,,,,,,,,
0,118,0,0,0,2,160,123,43,8.77,9.9,,,,0,0.458677686,1,1,0.5,0.222222222,0.324116306,0.709090909,0.472764645,0.433205058,0.5,,,,,,,,,,,,,,
0,91,0,1,2.67,0,93.5,112,58.7,9.17,9.9,,,,0,0.396694215,1,0,0,0.222222222,0.683580388,0.757575758,0.472764645,0.590434305,0.435,,,,,,,,,,,,,,
1,147,0,0,0,0,225.2,111,54,9.25,9.9,,,,0,0.185950413,1,0,0.038888889,0.111111111,0.599201824,0.557575758,0.45323741,0.625068719,0.655,,,,,,,,,,,,,,
1,76,0,0,0.34,1,241,120,64.4,11.59,9.9,,,,0,0.165289256,1,1,0.359259259,0,0.609464082,0.618181818,0.559095581,0.389774601,0.36,,,,,,,,,,,,,,
1,115,0,0,0,3,251.3,69,65,12.63,9.9,,,,0,0.495867769,1,0,0,0.333333333,0.543614595,0.624242424,0.35971223,0.504672897,0.49,,,,,,,,,,,,,,
0,63,0,1,2.7,1,151.5,99,66,7.39,10,,,,0,0.79338843,1,0,0,0.111111111,0.487172178,0.751515152,0.277492292,0.363936229,0.58,,,,,,,,,,,,,,
0,155,0,0,0,2,250.8,146,56,7.63,10,,,,0,0.533057851,1,0,0,0.222222222,0.439566705,0.721212121,0.22610483,0.302913689,0.46,,,,,,,,,,,,,,
0,107,0,0,0.29,1,234.1,91,56.9,8.16,10,,,,0,0.347107438,1,0,0.074074074,0.111111111,0.574116306,0.315151515,0.452209661,0.630566245,0.6,,,,,,,,,,,,,,
0,80,0,1,2.7,0,184.2,132,73,8.38,10,,,,1,0.665289256,1,0,0,0.444444444,0.201539339,0.654545455,0.123329908,0.433205058,0.455,,,,,,,,,,,,,,
1,124,0,0,0,3,157.8,71,45,10.16,10,,,,1,0.247933884,1,1,0.32037037,0.444444444,0.534492588,0.751515152,0.496402878,0.402968664,0.32,,,,,,,,,,,,,,
0,190,0,0,0,3,111.9,55,38,11.15,10,,,,0,0.376033058,1,0,0,0.222222222,0.261402509,0.545454545,0.195272354,0.53271028,0.46,,,,,,,,,,,,,,
1,117,0,0,0,1,287.4,118,71,12.98,10,,,,0,0.537190083,1,1,0.475925926,0.333333333,0.610604333,0.696969697,0.644398767,0.444749863,0.475,,,,,,,,,,,,,,
0,75,0,0,0,3,166.7,113,41,7.42,10.1,,,,0,0.367768595,1,0,0,0.333333333,0.414766249,0.557575758,0.308324769,0.598680594,0.545,,,,,,,,,,,,,,
0,147,0,0,0,1,183.8,113,46,8.24,10.1,,,,0,0.305785124,1,0,0,0.111111111,0.474059293,0.757575758,0.287769784,0.434854316,0.305,,,,,,,,,,,,,,
0,61,0,0,0,2,78.2,103,30,9.8,10.1,,,,0,0.318181818,1,0,0,0.111111111,0.658494869,0.696969697,0.462487153,0.633315008,0.475,,,,,,,,,,,,,,
0,85,0,0,0,3,116.2,86,40,11.49,10.1,,,,0,0.334710744,1,0,0,0.444444444,0.570980616,0.581818182,0.390544707,0.553051127,0.355,,,,,,,,,,,,,,
0,179,0,1,2.73,4,220.1,78,85.3,11.72,10.1,,,,0,0.669421488,1,0,0,0.111111111,0.561573546,0.660606061,0.380267215,0.556899395,0.455,,,,,,,,,,,,,,
0,54,0,0,0,1,214.1,77,57,12.03,10.1,,,,0,0.371900826,0,0,0.057407407,0.333333333,0.370296465,0.678787879,0.268242549,0.476635514,0.56,,,,,,,,,,,,,,
0,167,0,0,0,2,219.1,100,58,12.15,10.1,,,,0,0.305785124,1,1,0.264814815,0.555555556,0.501140251,0.587878788,0.50668037,0.598130841,0.265,,,,,,,,,,,,,,
1,95,0,0,0,4,228.9,134,61,12.79,10.1,,,,0,0.371900826,1,0,0,0.333333333,0.578962372,0.642424242,0.400822199,0.577789995,0.6,,,,,,,,,,,,,,
1,113,0,0,0,5,122.2,112,32,6.59,10.3,,,,0,0.520661157,1,1,0.559259259,0.111111111,0.522234892,0.709090909,0.598150051,0.348543156,0.56,,,,,,,,,,,,,,
